City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,codrington,-38.2667,141.9667,68.25,65,0,11.74,AU,1704937292
233,bay harbor,30.1471,-85.6146,48.06,88,42,4.56,US,1704937293
234,harstad,68.799,16.5293,29.62,96,100,6.22,NO,1704937293
235,amungan,15.3652,119.9582,82.74,65,15,2.84,PH,1704937294
236,roswell,34.0232,-84.3616,39.4,79,0,0.0,US,1704937084
237,selty,57.3132,52.1345,-11.74,100,93,4.88,RU,1704937295
238,xining,36.6167,101.7667,27.3,25,0,2.33,CN,1704937296
239,namibe,-15.1961,12.1522,69.44,73,100,6.71,AO,1704937296
240,ulanhot,46.0833,122.0833,8.76,86,100,4.07,CN,1704937297
241,port-cartier,50.0334,-66.8654,26.82,97,100,29.91,CA,1704937297
242,ingeniero guillermo n. juarez,-23.9,-61.85,92.35,36,32,10.49,AR,1704937298
243,kruisfontein,-34.0033,24.7314,64.89,99,73,2.33,ZA,1704937298
244,revda,56.801,59.9303,-10.98,93,100,12.48,RU,1704937299
245,bintulu,3.1667,113.0333,84.61,83,20,2.3,MY,1704937301
246,jatibonico,21.9419,-79.17,73.56,88,47,4.45,CU,1704937301
247,kalmunai,7.4167,81.8167,79.59,84,100,11.39,LK,1704937302
248,vorgashor,67.5833,63.95,-24.23,99,96,6.93,RU,1704937303
249,edinburg,55.9521,-3.1965,41.2,92,100,10.36,GB,1704937070
250,popilnia,49.9665,29.4435,27.99,86,100,15.59,UA,1704937304
251,kedougou,12.5579,-12.1743,78.93,23,84,2.21,SN,1704937304
252,ciudad lazaro cardenas,17.9583,-102.2,76.37,81,98,6.04,MX,1704937305
253,olonkinbyen,70.9221,-8.7187,34.59,88,99,25.93,SJ,1704937306
254,mulanje,-16.0316,35.5,70.93,91,100,3.0,MW,1704937306
255,borba,-4.3878,-59.5939,73.17,99,100,2.53,BR,1704937307
256,holualoa,19.6228,-155.9522,76.84,89,20,13.8,US,1704937253
257,puerto lempira,15.2667,-83.7667,77.13,88,98,5.06,HN,1704937309
258,kununurra,-15.7667,128.7333,82.38,78,75,8.05,AU,1704937020
259,abalak,58.1286,68.5944,-16.65,91,100,11.97,RU,1704937310
260,el granada,37.5027,-122.4694,55.22,88,100,20.71,US,1704937311
261,tselinnoye,53.0833,85.6667,11.44,81,85,14.81,RU,1704937311
262,temiskaming shores,47.4938,-79.7153,8.4,88,100,9.42,CA,1704937312
263,cameron,26.117,-97.5169,67.1,83,0,12.66,US,1704937313
264,kailua-kona,19.6406,-155.9956,80.56,88,20,13.8,US,1704937314
